Phrase,Search Volume,Category,Fulfillment,Size Tier,Variation Count,BSR,Price,Monthly Sales,Monthly Revenue,Review Count,Reviews Rating,Sellers,Last Year Sales,Sales Year Over Year,Sales Trend (90 days),Price Trend (90 days),Best Sales Period,Broad Reach Potential,Number of competing products,Sales to Reviews
death stranding t shirt,87,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,593851,25.99,44,1139.03,3,2.93,1,74,,0,-23,"Jul, 2025",0,114,18.88
santa shirt for girls,53,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,638319,15.36,21,279.37,6,4.67,1,25,,0,31,"Dec, 2024",3,10000,3.89
mardi gras shirt kids,101,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,3,1177954,18.78,7,125.15,8,4.71,1,62,,0,-2,"Feb, 2025",3,60000,1.74
class of 2026 shirt,1744,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,1,194116,17.81,84,1558.23,3,4.94,1,7,341,0,-18,"Jul, 2025",2,2000,45.32
oh hey prek shirt,339,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,1191518,15.55,53,760.31,2,5,1,4,-64,0,-30,"Jul, 2025",0,392,19.03
girls 4th grade shirt,442,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,162662,17.58,115,2027.92,7,4.67,1,154,77,0,0,"Jul, 2025",3,4000,48.78
john varvatos t shirt,113,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,20,1053659,96.98,20,1726.97,2,5,2,0,,0,255,"Jul, 2025",2,203,11.47
fernando valenzuela dodgers shirt,23,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,934842,16.99,9,156.82,0,-1,1,0,,-45,-12,"Apr, 2025",1,156,-1
kane brown shirt kids,107,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1280614,22.66,13,275.81,10,4.7,1,110,,-117,4,"May, 2025",1,451,2.17
gen x t shirt,413,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,27,399037,15.87,58,919.5,19,4.43,2,90,,0,-15,"Jul, 2025",3,2000,8.65
junior h t shirt,216,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1365021,34.99,0,-,1,4,1,0,,-114,-12,"Oct, 2024",0,652,0
boop bear t shirt,190,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1058977,17.24,11,184.64,5,4.67,1,0,,0,-8,"Dec, 2024",1,650,3.37
graduation shirt for mom,208,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,1335909,16.9,13,217.36,14,4.6,1,5,-35,0,-7,"May, 2025",4,10000,3.15
exodo peso pluma shirt,125,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,1310928,65.8,9,516.45,19,4.3,1,796,,-68,-39,"Oct, 2024",1,7,0.86
chappell roan t shirt,160,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,4,1265397,20.7,10,204.27,4,4.83,1,70,,0,-9,"Dec, 2024",0,203,9.41
funny mental health shirt,341,"Clothing, Shoes & Jewelry",Amazon,Large Standard-Size,0,1267863,15.99,52,832.21,7,4.6,1,126,,0,-23,"May, 2025",0,3000,69.08
