Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"salty teacher beach club shirt",112,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",7,1275979,15.56,37,489.96,16,4.55,1,77,,0,0,"Jun, 2025",0,157,9.91
"free people read freely shirt",69,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",11,273181,23.98,158,5377.97,5,5.00,4,0,,21,-11,"Dec, 2024",0,48,30.31
"fourth of july protest shirt",266,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",8,1318731,16.68,215,3312.35,12,4.45,1,128,347,0,0,"Jun, 2025",0,543,13.68
"merrill madness t shirt padres",51,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",20,1499151,30.87,14,659.72,9,4.44,1,0,,0,-44,"Oct, 2024",0,88,1.92
"korn follow the leader shirt",282,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,261090,23.65,145,3543.15,17,4.70,2,45,,0,2778,"Jul, 2025",0,85,11.49
"long live the king shirt",123,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1463690,17.12,18,273.64,3,5.00,1,0,,0,16,"Jun, 2025",1,177,18.11
"4th of july mama shirt",238,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,1120402,16.27,312,4767.72,14,4.39,1,601,-24,0,0,"Jun, 2025",3,10000,24.42
"in my camping era shirt",139,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,875809,17.65,16,285.55,3,5.00,1,32,,0,-28,"Jun, 2025",1,225,14.19
"luka kyrie step brother shirt",71,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",5,1122816,23.08,15,379.56,7,3.87,2,33,-56,0,-31,"Apr, 2025",0,57,3.79
"hold on im overstimulated shirt",198,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,967636,18.12,29,487.22,15,4.57,2,14,,0,1,"Dec, 2024",2,197,3.58
"moisture than an oyster shirt",420,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1037962,15.58,48,815.59,17,4.30,1,86,,0,-28,"Jul, 2025",2,186,18.58
"lil miss pre k shirt",33,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1198171,16.48,5,65.29,8,4.53,1,20,,0,-32,"Aug, 2024",0,160,1.33
"making arteries great again shirt",18,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1377882,18.98,1,12.04,0,-1.00,1,0,,350,-10,"Sep, 2024",0,501,-1.00
"hello 5th grade shirt girls",387,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,770889,16.85,36,564.67,10,4.85,1,69,-12,0,0,"Jul, 2025",1,824,7.79
"rizzem with the tism shirt",231,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1152156,16.88,10,150.22,5,4.89,1,73,,0,-21,"Dec, 2024",0,177,2.99
"horror 4th of july shirt",194,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",2,1143877,16.79,476,8963.55,14,4.77,1,536,,0,0,"Jul, 2025",1,296,45.18
"cute but feral shirt kids",294,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,838384,15.9,49,780.89,10,4.80,1,200,,0,-29,"Jul, 2025",0,299,8.08
"adhd roll for concentration shirt",212,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1249994,16.07,14,252.6,17,4.85,1,185,,-45,-34,"Dec, 2024",0,115,1.30
"thug life trump shirt cowboy",237,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",3,1376475,18.68,12,198.13,7,4.82,1,20,,0,-16,"Nov, 2024",1,189,2.15
"jeff the land shark shirt",358,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,622882,22.8,57,1301.04,15,4.73,1,409,,171,-25,"Jul, 2025",0,142,8.70
